"p","arc_length","Points:0","Points:1","Points:2"
-3.2668,0.34507,-0.3056,0.3787,0.35838
-3.264,0.3466,-0.3056,0.3787,0.3599
-3.2611,0.34812,-0.3056,0.3787,0.36143
-3.2579,0.34965,-0.3056,0.3787,0.36295
-3.2545,0.35117,-0.3056,0.3787,0.36448
-3.2511,0.3527,-0.3056,0.3787,0.366
-3.2477,0.35422,-0.3056,0.3787,0.36753
-3.2441,0.35575,-0.3056,0.3787,0.36905
-3.2404,0.35727,-0.3056,0.3787,0.37058
-3.2364,0.3588,-0.3056,0.3787,0.3721
-3.2325,0.36032,-0.3056,0.3787,0.37363
-3.2285,0.36185,-0.3056,0.3787,0.37515
-3.2244,0.36337,-0.3056,0.3787,0.37668
-3.2201,0.3649,-0.3056,0.3787,0.3782
-3.2156,0.36642,-0.3056,0.3787,0.37973
-3.2109,0.36795,-0.3056,0.3787,0.38125
-3.2063,0.36947,-0.3056,0.3787,0.38278
-3.2016,0.371,-0.3056,0.3787,0.3843
-3.1968,0.37252,-0.3056,0.3787,0.38583
-3.1915,0.37405,-0.3056,0.3787,0.38735
-3.1861,0.37557,-0.3056,0.3787,0.38888
-3.1807,0.3771,-0.3056,0.3787,0.3904
-3.1752,0.37862,-0.3056,0.3787,0.39193
-3.1696,0.38015,-0.3056,0.3787,0.39345
-3.1637,0.38167,-0.3056,0.3787,0.39498
-3.1575,0.3832,-0.3056,0.3787,0.3965
-3.1511,0.38472,-0.3056,0.3787,0.39803
-3.1446,0.38625,-0.3056,0.3787,0.39955
-3.1378,0.38777,-0.3056,0.3787,0.40108
-3.1307,0.3893,-0.3056,0.3787,0.4026
-3.1234,0.39082,-0.3056,0.3787,0.40413
-3.1161,0.39235,-0.3056,0.3787,0.40565
-3.1086,0.39387,-0.3056,0.3787,0.40718
-3.1007,0.3954,-0.3056,0.3787,0.4087
-3.0926,0.39692,-0.3056,0.3787,0.41023
-3.0843,0.39845,-0.3056,0.3787,0.41175
-3.0757,0.39997,-0.3056,0.3787,0.41328
-3.0667,0.4015,-0.3056,0.3787,0.4148
-3.0574,0.40302,-0.3056,0.3787,0.41633
-3.0478,0.40455,-0.3056,0.3787,0.41785
-3.038,0.40607,-0.3056,0.3787,0.41938
-3.0277,0.4076,-0.3056,0.3787,0.4209
-3.0172,0.40912,-0.3056,0.3787,0.42243
-3.0063,0.41065,-0.3056,0.3787,0.42395
-2.9951,0.41217,-0.3056,0.3787,0.42548
-2.9835,0.4137,-0.3056,0.3787,0.427
-2.9715,0.41522,-0.3056,0.3787,0.42853
-2.9592,0.41675,-0.3056,0.3787,0.43005
-2.9464,0.41827,-0.3056,0.3787,0.43158
-2.9331,0.4198,-0.3056,0.3787,0.4331
-2.9193,0.42132,-0.3056,0.3787,0.43462
-2.9051,0.42285,-0.3056,0.3787,0.43615
-2.8904,0.42437,-0.3056,0.3787,0.43767
-2.8751,0.4259,-0.3056,0.3787,0.4392
-2.8593,0.42742,-0.3056,0.3787,0.44072
-2.8429,0.42895,-0.3056,0.3787,0.44225
-2.826,0.43047,-0.3056,0.3787,0.44377
-2.8083,0.432,-0.3056,0.3787,0.4453
-2.7901,0.43352,-0.3056,0.3787,0.44682
-2.7712,0.43505,-0.3056,0.3787,0.44835
-2.7517,0.43657,-0.3056,0.3787,0.44987
-2.7313,0.4381,-0.3056,0.3787,0.4514
-2.7103,0.43962,-0.3056,0.3787,0.45292
-2.6884,0.44115,-0.3056,0.3787,0.45445
-2.6656,0.44267,-0.3056,0.3787,0.45597
-2.6418,0.4442,-0.3056,0.3787,0.4575
-2.6174,0.44572,-0.3056,0.3787,0.45902
-2.5915,0.44725,-0.3056,0.3787,0.46055
-2.5651,0.44877,-0.3056,0.3787,0.46207
-2.5373,0.4503,-0.3056,0.3787,0.4636
-2.5088,0.45182,-0.3056,0.3787,0.46512
-2.4782,0.45335,-0.3056,0.3787,0.46665
-2.4472,0.45487,-0.3056,0.3787,0.46817
-2.4155,0.4564,-0.3056,0.3787,0.4697
-2.3799,0.45792,-0.3056,0.3787,0.47122
-2.3439,0.45945,-0.3056,0.3787,0.47275
-2.3071,0.46097,-0.3056,0.3787,0.47427
-2.2686,0.4625,-0.3056,0.3787,0.4758
-2.2282,0.46402,-0.3056,0.3787,0.47732
-2.1864,0.46555,-0.3056,0.3787,0.47885
-2.1434,0.46707,-0.3056,0.3787,0.48037
-2.0994,0.4686,-0.3056,0.3787,0.4819
-2.0543,0.47012,-0.3056,0.3787,0.48342
-2.0087,0.47165,-0.3056,0.3787,0.48495
-1.9632,0.47317,-0.3056,0.3787,0.48648
-1.9171,0.4747,-0.3056,0.3787,0.488
-1.8706,0.47622,-0.3056,0.3787,0.48953
-1.8263,0.47775,-0.3056,0.3787,0.49105
-1.7837,0.47928,-0.3056,0.3787,0.49258
-1.7446,0.48081,-0.3056,0.3787,0.49411
-1.7116,0.48236,-0.3056,0.3787,0.49566
-1.6769,0.48391,-0.3056,0.3787,0.49721
-1.9992,0.4854,-0.3056,0.3787,0.4987
-1.594,0.48649,-0.3056,0.3787,0.49979
-1.4804,0.4867,-0.3056,0.3787,0.5
-1.2458,0.48698,-0.30577,0.37894,0.5
-0.93093,0.48804,-0.30638,0.3798,0.5
-0.92799,0.48807,-0.30639,0.37982,0.5
-0.86256,0.48907,-0.30697,0.38064,0.5
-0.82441,0.4897,-0.30734,0.38115,0.5
-0.80382,0.49007,-0.30755,0.38145,0.5
-0.75792,0.49104,-0.30811,0.38225,0.5
-0.74737,0.49132,-0.30827,0.38248,0.5
-0.72391,0.492,-0.30866,0.38303,0.5
-0.69826,0.49292,-0.30919,0.38378,0.5
-0.6974,0.49295,-0.30921,0.38381,0.5
-0.6743,0.49391,-0.30976,0.38459,0.5
-0.66278,0.49451,-0.31011,0.38508,0.5
-0.65704,0.49486,-0.31031,0.38536,0.5
-0.64435,0.49581,-0.31086,0.38614,0.5
-0.64136,0.4961,-0.31103,0.38638,0.5
-0.63618,0.49676,-0.31141,0.38692,0.5
-0.63504,0.49769,-0.31195,0.38768,0.5
-0.63506,0.49771,-0.31196,0.3877,0.5
-0.64798,0.49867,-0.31251,0.38847,0.5
-0.65986,0.49928,-0.31287,0.38897,0.5
-0.66808,0.49962,-0.31306,0.38925,0.5
-0.70995,0.50057,-0.31361,0.39003,0.5
-0.71902,0.50087,-0.31378,0.39027,0.5
-0.74988,0.50152,-0.31416,0.39081,0.5
-0.79121,0.50246,-0.3147,0.39157,0.5
-0.7922,0.50248,-0.31471,0.39159,0.5
-0.85584,0.50343,-0.31526,0.39236,0.5
-0.89907,0.50405,-0.31562,0.39287,0.5
-0.923,0.50438,-0.31581,0.39314,0.5
-0.9979,0.50533,-0.31636,0.39392,0.5
-1.0226,0.50564,-0.31654,0.39417,0.5
-1.0746,0.50629,-0.31691,0.3947,0.5
-1.1457,0.50723,-0.31745,0.39546,0.5
-1.1466,0.50724,-0.31746,0.39547,0.5
-1.2018,0.50819,-0.31801,0.39625,0.5
-1.2254,0.50882,-0.31837,0.39676,0.5
-1.2333,0.50914,-0.31856,0.39703,0.5
-1.2261,0.5101,-0.31912,0.39781,0.5
-1.214,0.51042,-0.3193,0.39807,0.5
-1.1795,0.51108,-0.31968,0.39861,0.5
-1.1208,0.51207,-0.32025,0.39942,0.5
-1.1206,0.51207,-0.32025,0.39942,0.5
-1.1334,0.51308,-0.32083,0.40024,0.5
-1.1904,0.51369,-0.32118,0.40074,0.5
-1.1736,0.51401,-0.32137,0.401,0.5
-0.98063,0.51452,-0.32167,0.40142,0.5
-0.55928,0.51582,-0.32167,0.40142,0.49871
-0.50645,0.51731,-0.32167,0.40142,0.49721
-0.47169,0.51886,-0.32167,0.40142,0.49566
-0.45674,0.52041,-0.32167,0.40142,0.49411
-0.44251,0.52194,-0.32167,0.40142,0.49258
-0.43384,0.52347,-0.32167,0.40142,0.49105
-0.42585,0.525,-0.32167,0.40142,0.48953
-0.42032,0.52652,-0.32167,0.40142,0.488
-0.41581,0.52805,-0.32167,0.40142,0.48648
-0.41197,0.52957,-0.32167,0.40142,0.48495
-0.40855,0.5311,-0.32167,0.40142,0.48342
-0.40517,0.53262,-0.32167,0.40142,0.4819
-0.40192,0.53415,-0.32167,0.40142,0.48037
-0.39884,0.53567,-0.32167,0.40142,0.47885
-0.39571,0.5372,-0.32167,0.40142,0.47732
-0.39263,0.53872,-0.32167,0.40142,0.4758
-0.38957,0.54025,-0.32167,0.40142,0.47427
-0.38686,0.54177,-0.32167,0.40142,0.47275
-0.38357,0.5433,-0.32167,0.40142,0.47122
-0.38106,0.54482,-0.32167,0.40142,0.4697
-0.3784,0.54635,-0.32167,0.40142,0.46817
-0.37519,0.54787,-0.32167,0.40142,0.46665
-0.37262,0.5494,-0.32167,0.40142,0.46512
-0.36966,0.55092,-0.32167,0.40142,0.4636
-0.36687,0.55245,-0.32167,0.40142,0.46207
-0.364,0.55397,-0.32167,0.40142,0.46055
-0.36118,0.5555,-0.32167,0.40142,0.45902
-0.35823,0.55702,-0.32167,0.40142,0.4575
-0.35528,0.55855,-0.32167,0.40142,0.45597
-0.35232,0.56007,-0.32167,0.40142,0.45445
-0.34931,0.5616,-0.32167,0.40142,0.45292
-0.34631,0.56312,-0.32167,0.40142,0.4514
-0.34339,0.56465,-0.32167,0.40142,0.44987
-0.3405,0.56617,-0.32167,0.40142,0.44835
-0.33763,0.5677,-0.32167,0.40142,0.44682
-0.33479,0.56922,-0.32167,0.40142,0.4453
-0.33205,0.57075,-0.32167,0.40142,0.44377
-0.32931,0.57227,-0.32167,0.40142,0.44225
